"Subject","Day","Rep","Treat","Control_batch","Acetic Acid","Propionic Acid","Butyric Acid","Lactic Acid","Isobutyric Acid","Valeric Acid","IsoValeric Acid","2-MethylButyric Acid","Caproic Acid","2,2-DimethylButyric Acid","2-MethylValeric Acid","3-MethylValeric Acid","4-MethylValeric Acid","Succinic Acid","Indole-3-Propionic Acid","Indole-3-Butyric Acid","indole-3-Acetic Acid","Indole-3-Lactic Acid"
"Sub1","d0","A","Ctl-S",1,6.83389360448291,20.1284833375183,7.3874224292235,1.51319519694148,0.42707270857239,2.30255236797546,0.72625204861944,0.0905723035374372,0.0813006949392305,0,0,0,0.00175655166451326,6.38003595745654,0.0185906592735111,0.00165517495248903,0.0138230079349445,0
"Sub1","d0","B","Ctl-S",1,12.9022983355505,29.4697845858067,10.2868217086542,2.1299889998831,0.34617372439318,2.08891663539383,0.601942254156123,0.0853706670701389,0,0,0,0,0.000947610126300443,4.66692388606489,0.0188275296470816,0.00186777144255566,0.00758845151622748,0
"Sub1","d0","C","Ctl-S",1,5.00273820170436,18.5946606890457,6.7940709679379,1.18411739929716,0.383151429262033,2.59671095380452,0.71450411695747,0.067467552881441,0,0,0,0,0.000859221980186406,5.32990628072228,0.0181526319939416,0.00161953169475757,0.0126114631269002,0
"Sub1","d1","A","Ctl-S",1,132.288405373721,31.957049075089,16.0367870824359,18.1629211745491,0.886711531812028,2.07493897910121,1.54948769849829,3.99783352886733,0,0,0,0,0.000917794912518253,96.66382922319,0.0131895389732479,0.0013964269957602,0.0102437394740061,0
"Sub1","d1","B","Ctl-S",1,138.005885117811,33.5798061885912,17.2008927549755,15.6316049119925,1.02688254281055,2.21095396501357,2.10662482255727,4.0124462788048,0,0,0,0,0.000813564502236944,121.890229448586,0.0129556609261994,0.00275672568703587,0.0089940421767632,0
"Sub1","d1","C","Ctl-S",1,128.548805292637,34.3291039175412,18.3462216067587,14.4791260140703,1.11499470897,2.48388864671012,2.09011493061982,3.75173019623939,0,0,0,0,0.00084167941850046,135.467241943149,0.0159414406851114,0.00069216494915348,0.00806150694326719,0
"Sub1","d2","A","Ctl-S",1,2636.22531066167,612.429696652868,312.844893821197,343.733405013392,0.882068339872386,2.1687789716907,1.54729086426073,3.26321404477238,0,0,0,0,0.000912516840857932,82.4197323786097,0.012964079371953,0.00179303205938453,0.00453276292699307,0
"Sub1","d2","B","Ctl-S",1,1069.76828034661,245.888561611233,125.898382489392,128.749912986345,0.929869554383883,1.91576156764273,1.72659229397348,3.57786139951022,0,0,0,0,0.00103305347976499,71.3995813115652,0.0122366904225889,0.00227689160397587,0.00801722148511751,0
"Sub1","d2","C","Ctl-S",1,1386.10451370341,335.541944049072,166.232062490624,111.457048810189,0.842788327252706,2.19553846844361,1.66020800323196,3.14442137719717,0,0,0,0,0.00120635431889973,88.5962309919092,0.0116661851537785,0.00296267720287116,0.00320983346605593,0
"Sub1","d3","A","Ctl-S",1,52.92740781341,14.0279421441886,7.75687065457386,6.29513877892563,0.983466446600448,2.46946598576835,1.80519479677465,0.0947215562767638,0,0,0,0,0.00194003590756717,105.725009379933,0.012887460237258,0.00358059104816432,0.0094778247554611,0
